Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:13,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:14,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:15,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:16,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
2019-12-14,12:33:17,server down,0
